SUBJECT;LABEL;ACURCY;DICE;FN;FP;HDRFDST;JACRD;REFVOL;SNSVTY;SPCFTY;TN;TP
CHUM-006;Nodal;0.999671370967742;0.8573429021529845;2948;1127;6.4031242374328485;0.7503063725490197;15193.0;0.8059632725597314;0.9999090014079347;12383680;12245
CHUM-006;Primary;0.9998116129032258;0.752542372881356;2113;223;6.48074069840786;0.6032608695652174;5665.0;0.6270079435127979;0.9999820079092585;12394112;3552
CHUM-011;Nodal;0.9994848387096774;0.8233797832337978;3259;3129;6.164414002968976;0.6997838142682583;18149.0;0.8204308777343104;0.9997472914187063;12378722;14890
CHUM-011;Primary;0.9990767741935483;0.8163029525032093;10662;786;7.14142842854285;0.689621516104544;36098.0;0.7046373760319131;0.9999364278364549;12363116;25436
CHUM-014;Nodal;0.9995925806451613;0.7160521582733813;4928;124;9.433981132056603;0.5576956750131326;11298.0;0.563816604708798;0.9999899908804005;12388578;6370
CHUM-014;Primary;0.999518870967742;0.386087672360568;5816;150;27.80287754891569;0.23922468757969906;7692.0;0.2438897555902236;0.9999878957172466;12392158;1876
CHUM-015;Nodal;0.9997536290322581;0.530649869411584;3053;2;7.3484692283495345;0.36114596403178584;4780.0;0.3612970711297071;0.9999998386474787;12395218;1727
CHUM-015;Primary;0.9995492741935483;0.3689736931240826;5376;213;17.46424919657298;0.226221791499377;7010.0;0.23309557774607703;0.9999828128643693;12392777;1634
CHUM-039;Nodal;0.9983958064516129;0.6663535726266353;17489;2403;69.24593850905626;0.4996478518965691;37353.0;0.5317912885176559;0.9998056241515267;12360244;19864
CHUM-039;Primary;0.999805564516129;0.7998007141077804;701;1710;31.28897569432403;0.6663899266638993;5517.0;0.8729381910458582;0.9998620353910688;12392773;4816
CHUM-065;Nodal;0.9983725806451613;0.09644488224232113;17059;3121;40.4103947023535;0.050665663075692716;18136.0;0.059384649316277016;0.9997479377903036;12378743;1077
CHUM-065;Primary;0.9997353225806451;0.7354932301740812;370;2912;5.0990195135927845;0.5816443594646271;4933.0;0.924994932090006;0.999765067829;12392155;4563
CHUP-012;Nodal;0.9991524193548387;0.497465812374486;23;10487;62.65780079128216;0.3310845213849287;5225.0;0.9955980861244019;0.999153917679022;12384288;5202
CHUP-012;Primary;0.9998658064516129;0.9088718510405257;1019;645;3.0;0.8329652680184702;9317.0;0.8906300311258989;0.9999479447581703;12390038;8298
CHUP-017;Nodal;0.999004435483871;0.8910808974687007;6320;6025;8.831760866327848;0.8035580732937638;56818.0;0.888767644056461;0.9995118762730713;12337157;50498
CHUP-017;Primary;0.9996804838709678;0.6666666666666666;1797;2165;6.782329983125268;0.5;5759.0;0.6879666608786248;0.9998253220991911;12392076;3962
CHUP-018;Nodal;0.9989448387096774;0.8104592206287121;1946;11138;45.221676218380054;0.6813210901916847;29919.0;0.9349577191751062;0.9990996016921797;12358943;27973
CHUP-018;Primary;0.9995134677419355;0.1952781112444978;5546;487;24.331050121192877;0.1082039911308204;6278.0;0.11659764256132527;0.9999607059122353;12393235;732
CHUP-020;Nodal;0.9997547580645161;0.0;0;3041;inf;0.0;0.0;-inf;0.9997547580645161;12396959;0
CHUP-020;Primary;0.9998204838709678;0.8133176786313318;2076;150;6.0;0.6853710247349823;6925.0;0.700216606498195;0.9999878964663733;12392925;4849
CHUP-023;Nodal;0.9993242741935484;0.7876422434549003;1974;6405;38.71692136521188;0.6496780667279873;17513.0;0.8872837320847371;0.9994827371916482;12376082;15539
CHUP-023;Primary;0.9994853225806452;0.6927594839206624;1702;4680;11.0;0.5299403402813582;8897.0;0.8086995616499943;0.9996223096523369;12386423;7195
